date,vader_prediction,sentiment
2021-02-04,-0.21230000000000002,negative
2021-02-06,0.0,neutral
2021-02-07,0.19913333333333336,positive
2021-02-08,-0.16455,negative
2021-02-09,0.0,neutral
2021-02-10,-0.17,negative
2021-02-11,-0.5423,negative
2021-02-12,-0.2732,negative
2021-02-15,0.36005,positive
2021-02-19,0.07303333333333334,positive
2021-02-20,0.25143333333333334,positive
2021-02-21,0.0,neutral
2021-02-22,0.0,neutral
2021-03-01,0.0,neutral
2021-03-02,-0.2553,negative
2021-03-03,0.0,neutral
2021-03-06,0.0,neutral
2021-03-12,-0.3802,negative
2021-03-14,-0.12040000000000001,negative
2021-03-16,0.0,neutral
2021-03-19,0.0,neutral
2021-03-24,-0.02563333333333333,neutral
2021-03-25,0.7096,positive
2021-04-01,0.0,neutral
2021-04-09,0.0,neutral
2021-04-10,0.0,neutral
2021-04-15,0.127325,positive
2021-04-16,0.0,neutral
2021-04-27,-0.296,negative
2021-04-28,0.0,neutral
2021-05-07,0.6239,positive
2021-05-10,0.0,neutral
2021-05-11,0.4404,positive
2021-05-13,0.0,neutral
2021-05-14,0.7224999999999999,positive
2021-05-16,-0.0994375,negative
2021-05-17,0.0,neutral
2021-05-20,0.24435714285714288,positive
2021-05-21,0.6486,positive
2021-05-22,0.4404,positive
2021-05-23,0.4767,positive
2021-05-24,0.69005,positive
2021-05-25,0.4417,positive
2021-05-26,-0.1082,negative
2021-05-28,0.0,neutral
2021-05-31,0.0,neutral
2021-06-02,0.0,neutral
2021-06-04,0.013500000000000002,neutral
2021-06-05,0.3454,positive
2021-06-10,0.8934,positive
2021-06-13,0.8689,positive
2021-06-17,0.0,neutral
2021-06-25,0.1911,positive
2021-07-01,0.05103333333333334,positive
2021-07-02,-0.1531,negative
2021-07-09,0.31149999999999994,positive
2021-07-13,0.0,neutral
2021-07-14,0.0,neutral
2021-07-17,0.7088,positive
2021-07-19,0.1591,positive
2021-07-29,0.0,neutral
2021-07-31,0.4215,positive
2021-08-01,0.0,neutral
2021-08-07,-0.6705,negative
2021-08-24,0.0,neutral
2021-08-30,0.2023,positive
2021-09-02,0.7506,positive
2021-09-13,0.0,neutral
2021-09-23,0.7269,positive
2021-09-29,0.0,neutral
2021-10-22,0.0,neutral
2021-10-24,0.08895714285714285,positive
2021-10-25,0.0,neutral
2021-10-27,0.3182,positive
2021-10-28,0.0,neutral
2021-10-31,0.0,neutral
2021-11-01,0.2842,positive
2021-11-03,0.6588,positive
2021-11-05,0.0,neutral
2021-11-15,0.0,neutral
2021-11-20,-0.6597,negative
2021-11-23,-0.13423333333333332,negative
2021-11-25,0.0,neutral
2021-11-26,0.0,neutral
2021-12-10,-0.2553,negative
2021-12-14,0.0,neutral
2021-12-23,0.0,neutral
2022-01-14,0.0,neutral
2022-01-20,0.1531,positive
2022-01-21,-0.126,negative
2022-01-25,0.7184,positive
2022-01-27,0.0,neutral
2022-02-21,0.6249,positive
2022-02-25,0.25,positive
2022-03-02,0.0,neutral
2022-07-06,0.4404,positive
2022-07-07,0.685,positive
2022-07-12,0.7684,positive
2022-07-13,0.0,neutral
2022-07-15,0.14049999999999999,positive
2022-07-21,0.0,neutral
2022-07-24,0.0,neutral
2022-07-31,0.0258,neutral
2022-08-01,0.0,neutral
2022-08-04,0.0,neutral
2022-08-06,0.0,neutral
2022-08-12,-0.296,negative
2022-08-28,0.296,positive
2022-09-04,0.4926,positive
2022-09-11,0.0258,neutral
2022-09-12,0.0,neutral
2022-09-13,-0.1531,negative
2022-09-17,0.0,neutral
2022-10-03,0.0,neutral
2022-10-06,0.6597,positive
2022-10-07,0.0,neutral
2022-10-11,-0.1759,negative
2022-10-17,0.0,neutral
2022-10-19,0.4404,positive
2022-11-04,0.6369,positive
2022-11-14,-0.2982,negative
2022-11-21,0.0,neutral
2022-11-22,0.0,neutral
2022-11-23,0.6249,positive
2022-11-24,0.4926,positive
2022-11-25,-0.195925,negative
2022-11-29,0.0,neutral
2022-12-09,0.5927,positive
2022-12-13,0.64725,positive
2022-12-16,0.0387,neutral
2022-12-23,0.23786666666666667,positive
2022-12-28,0.4215,positive
2022-12-30,-0.1359,negative
2023-01-05,0.4404,positive
2023-01-11,0.6369,positive
2023-01-20,0.4215,positive
2023-01-21,-0.3612,negative
2023-01-22,0.29295,positive
2023-01-25,0.50965,positive
2023-01-26,0.22693333333333332,positive
2023-02-01,0.0,neutral
2023-02-03,0.1591,positive
2023-02-04,0.3182,positive
2023-02-05,-0.6249,negative
2023-02-10,0.2023,positive
2023-02-11,0.743,positive
2023-02-12,0.10087499999999999,positive
2023-02-13,0.3739333333333333,positive
2023-02-14,0.50095,positive
2023-02-15,0.0,neutral
2023-02-16,0.6088,positive
2023-02-17,-0.007266666666666662,neutral
2023-02-22,0.0,neutral
2023-02-23,0.296,positive
2023-02-24,0.0,neutral
2023-02-25,0.30175,positive
2023-02-28,-0.4588,negative
2023-03-03,0.5499,positive
2023-03-05,-0.7269,negative
2023-03-06,0.2672,positive
2023-03-07,0.0,neutral
2023-03-09,-0.1007,negative
2023-03-13,0.2023,positive
2023-03-14,0.49890000000000007,positive
2023-03-18,0.4215,positive
2023-03-19,0.0,neutral
2023-03-20,0.3612,positive
2023-03-23,0.07655,positive
2023-03-24,0.6369,positive
2023-03-27,0.0406,neutral
2023-03-28,0.21230000000000002,positive
2023-03-31,0.4215,positive
2023-04-01,0.7712,positive
2023-04-02,0.21674285714285713,positive
2023-04-03,0.21075,positive
2023-04-04,0.0,neutral
