,Ticker,target_return,Accuracy,TP_rate,TN_rate,Pos_Predicted_Value,Neg_Predicted_Value
0,BTC-USD,0,0.5316622691292876,0.37714285714285717,0.5780445969125214,0.21153846153846154,0.7556053811659192
1,GLD,0,0.503957783641161,0.46229508196721314,0.5320088300220751,0.39943342776203966,0.5950617283950618
2,SLV,0,0.5131926121372031,0.5154777927321669,0.4,0.9770408163265306,0.01639344262295082
3,CL=F,0,0.5672823218997362,0.5365853658536586,0.5690376569037657,0.06646525679758308,0.955503512880562
4,VIXY,0,0.7467018469656992,0.7476882430647291,0.0,0.9982363315696648,0.0
5,^IXIC,0,0.6781002638522428,,0.6781002638522428,0.0,1.0
6,^GSPC,0,0.6754617414248021,,0.6754617414248021,0.0,1.0
7,^DJI,0,0.6424802110817942,,0.6424802110817942,0.0,1.0
8,META,0,0.6094986807387863,,0.6094986807387863,0.0,1.0
9,AMZN,0,0.6398416886543535,0.5,0.6402116402116402,0.003663003663003663,0.9979381443298969
10,AAPL,0,0.6358839050131926,,0.6358839050131926,0.0,1.0
11,NFLX,0,0.6306068601583114,0.9090909090909091,0.6265060240963856,0.03460207612456748,0.997867803837953
12,GOOG,0,0.6187335092348285,1.0,0.618229854689564,0.0034482758620689655,1.0
13,TSLA,0,0.5474934036939314,,0.5474934036939314,0.0,1.0
14,JPM,0,0.6279683377308707,,0.6279683377308707,0.0,1.0
15,WFC,0,0.5026385224274407,0.43333333333333335,0.5119760479041916,0.10684931506849316,0.8702290076335878
16,C,0,0.5804749340369393,,0.5804749340369393,0.0,1.0
17,BAC,0,0.5936675461741425,,0.5936675461741425,0.0,1.0
18,UUP,0,0.5712401055408971,0.49282296650717705,0.6010928961748634,0.3198757763975155,0.7568807339449541
19,IEF,0,0.5197889182058048,0.4720812182741117,0.5714285714285714,0.543859649122807,0.5
